rank,name,domain,url,theme,meaning,backronym,status,annual_usd,initial_years,initial_checkout_usd,renewal_usd,com_status,checked_at
131,crepis,crepis.ai,https://crepis.ai,geometry,A plant of the genus Crepis in the family Compositae.,Concept Representation Embedding Probe Interpretability Steering,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
132,logwood,logwood.ai,https://logwood.ai,flora,"A tree of species Haematoxylum campechianum, in the legume family, of great economic importan...",Layer Observation Geometry Workbench Observation Observation Direction,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
133,ligula,ligula.ai,https://ligula.ai,fauna,"A strap or strap-shaped object, especially such a development in plants or insects.",Layer Interpretability Geometry Unified Layer Activation,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
134,pirrie,pirrie.ai,https://pirrie.ai,sky,A strong gale.,Probe Interpretability Representation Representation Interpretability Embedding,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
135,shoran,shoran.ai,https://shoran.ai,signal,Acronym of short-range navigation.,Steering Hidden-state Observation Representation Activation Neural,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
136,woggle,woggle.ai,https://woggle.ai,craft,"A Boy Scout's neckerchief clasp or slide, originally a loop or ring of leather.",Workbench Observation Geometry Geometry Layer Embedding,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
137,bedder,bedder.ai,https://bedder.ai,land,A property with a specified number of bedrooms.,Behavior Embedding Direction Direction Embedding Representation,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
138,fungia,fungia.ai,https://fungia.ai,flora,Any member of the coral genus Fungia.,Feature Unified Neural Geometry Interpretability Activation,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
139,bejuco,bejuco.ai,https://bejuco.ai,flora,"Any climbing woody vine of the tropics with the habit of a liana; in the Philippines, especia...",Behavior Embedding Jacobian Unified Concept Observation,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
140,sharee,sharee.ai,https://sharee.ai,mind,A person with whom something is shared.,Steering Hidden-state Activation Representation Embedding Embedding,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
141,toneme,toneme.ai,https://toneme.ai,sound,A phoneme in a language that uses different tones for different meanings.,Trait Observation Neural Embedding Manifold Embedding,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
142,bharal,bharal.ai,https://bharal.ai,fauna,"A blue sheep, being any species of the genus Pseudois, goatlike bovids of the Himalayas and w...",Behavior Hidden-state Activation Representation Activation Layer,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
143,podger,podger.ai,https://podger.ai,craft,"A tool in the form of a short commonly-tapered metal rod, principally used to align holes in...",Probe Observation Direction Geometry Embedding Representation,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
144,piecer,piecer.ai,https://piecer.ai,craft,Someone or something that pieces.,Probe Interpretability Embedding Concept Embedding Representation,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
145,piggle,piggle.ai,https://piggle.ai,craft,A long-handled fork for mixing or digging.,Probe Interpretability Geometry Geometry Layer Embedding,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
146,pushrod,pushrod.ai,https://pushrod.ai,navigation,A rod in a piston engine that actuates rocker arms above the cylinder head.,Probe Unified Steering Hidden-state Representation Observation Direction,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
147,benzoin,benzoin.ai,https://benzoin.ai,flora,"A resinous substance, dry and brittle, obtained from Styrax benzoin, a tree of Sumatra, Java,...",Behavior Embedding Neural Zeroing Observation Interpretability Neural,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
148,cowslip,cowslip.ai,https://cowslip.ai,flora,"A low-growing plant, Primula veris, with yellow flowers.",Concept Observation Workbench Steering Layer Interpretability Probe,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
149,finfish,finfish.ai,https://finfish.ai,fauna,"Clipped compound of finned fish, as in e.g. ray-finned fish; used to distinguish them from sh...",Feature Interpretability Neural Feature Interpretability Steering Hidden-state,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
150,bycatch,bycatch.ai,https://bycatch.ai,fauna,Any fish (or other creatures) that are not targeted as a catch but are unintentionally caught...,Behavior Yield Concept Activation Trait Concept Hidden-state,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
151,isocost,isocost.ai,https://isocost.ai,geometry,A curve that represents a combination of various inputs that cost the same.,Interpretability Steering Observation Concept Observation Steering Trait,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
152,oblast,oblast.ai,https://oblast.ai,geometry,A region or province in Slavic or Slavic-influenced countries.,Observation Behavior Layer Activation Steering Trait,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
153,onlap,onlap.ai,https://onlap.ai,instrument,The phenomenon of successively younger rock strata extending progressively further across an...,Observation Neural Layer Activation Probe,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
154,mordent,mordent.ai,https://mordent.ai,sound,An ornament consisting of a single alternation between a given pitch and the one immediately...,Manifold Observation Representation Direction Embedding Neural Trait,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
155,garfish,garfish.ai,https://garfish.ai,fauna,"Any fish of the needlefish family Belonidae, with a long narrow body and needle-shaped jaws,...",Geometry Activation Representation Feature Interpretability Steering Hidden-state,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
156,frisket,frisket.ai,https://frisket.ai,language,A thin frame in a printing press that holds the sheet of paper in position and acts as a mask.,Feature Representation Interpretability Steering Kernel Embedding Trait,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
157,mazurka,mazurka.ai,https://mazurka.ai,sound,"A Polish folk dance in triple time, usually moderately fast, containing a heavy accent on the...",Manifold Activation Zeroing Unified Representation Kernel Activation,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
158,catboat,catboat.ai,https://catboat.ai,craft,"A sailing boat with a single sail, usually rigged on a gaff spar, used for fishing in New Eng...",Concept Activation Trait Behavior Observation Activation Trait,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
159,dunnock,dunnock.ai,https://dunnock.ai,fauna,"A small European and Asian passerine bird, Prunella modularis; the hedge sparrow or hedge war...",Direction Unified Neural Neural Observation Concept Kernel,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
160,lenslet,lenslet.ai,https://lenslet.ai,instrument,A small lens that is part of an array used to generate illumination of uniform intensity,Layer Embedding Neural Steering Layer Embedding Trait,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
161,batfish,batfish.ai,https://batfish.ai,fauna,"Any of several spade-shaped, laterally compressed, reef-dwelling tropical fish of the genus P...",Behavior Activation Trait Feature Interpretability Steering Hidden-state,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
162,clitic,clitic.ai,https://clitic.ai,language,"A morpheme that functions like a word, but never appears as an independent word, instead bein...",Concept Layer Interpretability Trait Interpretability Concept,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
163,calcic,calcic.ai,https://calcic.ai,earth,"Of, pertaining to, or derived from calcium or lime.",Concept Activation Layer Concept Interpretability Concept,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
164,armlet,armlet.ai,https://armlet.ai,water,A band worn on the arm for ornamental or identification purposes.,Activation Representation Manifold Layer Embedding Trait,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
165,faunal,faunal.ai,https://faunal.ai,fauna,Pertaining to animals.,Feature Activation Unified Neural Activation Layer,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
166,arapaho,arapaho.ai,https://arapaho.ai,fauna,A member of a Native American people of Wyoming and Oklahoma.,Activation Representation Activation Probe Activation Hidden-state Observation,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
167,ovine,ovine.ai,https://ovine.ai,fauna,An animal from the genus Ovis; a sheep.,Observation Vector Interpretability Neural Embedding,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
168,muggy,muggy.ai,https://muggy.ai,sky,"Humid, or hot and humid.",Manifold Unified Geometry Geometry Yield,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
169,syrupy,syrupy.ai,https://syrupy.ai,feeling,Overly sweet.,Steering Yield Representation Unified Probe Yield,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
170,mense,mense.ai,https://mense.ai,feeling,Decency; propriety; civility.,Manifold Embedding Neural Steering Embedding,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
171,aerator,aerator.ai,https://aerator.ai,craft,"A device which mixes air with a substance, particularly soil or a liquid.",Activation Embedding Representation Activation Trait Observation Representation,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
172,grampus,grampus.ai,https://grampus.ai,fauna,A killer whale (Orcinus orca).,Geometry Representation Activation Manifold Probe Unified Steering,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
173,morceau,morceau.ai,https://morceau.ai,sound,A small bit; a morsel or snippet.,Manifold Observation Representation Concept Embedding Activation Unified,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
174,smidgen,smidgen.ai,https://smidgen.ai,instrument,"Chiefly in the form a smidgen of: a very small amount or quantity; a bit, a trace.",Steering Manifold Interpretability Direction Geometry Embedding Neural,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
175,souse,souse.ai,https://souse.ai,mind,To immerse in liquid; to steep or drench.,Steering Observation Unified Steering Embedding,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
176,elsen,elsen.ai,https://elsen.ai,craft,"An awl, a pointed tool.",Embedding Layer Steering Embedding Neural,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
177,sahul,sahul.ai,https://sahul.ai,water,"The continent that contains the islands of Australia, New Guinea, and Tasmania, especially du...",Steering Activation Hidden-state Unified Layer,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
178,apocope,apocope.ai,https://apocope.ai,sound,The loss or omission of a sound or syllable from the end of a word.,Activation Probe Observation Concept Observation Probe Embedding,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
179,holdall,holdall.ai,https://holdall.ai,language,A large bag for carrying belongings while travelling.,Hidden-state Observation Layer Direction Activation Layer Layer,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
180,spindel,spindel.ai,https://spindel.ai,craft,The rod made from the above used in the spinning of wool and other natural fibres.,Steering Probe Interpretability Neural Direction Embedding Layer,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
181,alosa,alosa.ai,https://alosa.ai,fauna,shad,Activation Layer Observation Steering Activation,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
182,lurcher,lurcher.ai,https://lurcher.ai,fauna,A type of crossbreed dog ― a cross between a sighthound and any other breed or the offspring...,Layer Unified Representation Concept Hidden-state Embedding Representation,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
183,abrader,abrader.ai,https://abrader.ai,craft,Something that abrades; a tool or machine for abrading.,Activation Behavior Representation Activation Direction Embedding Representation,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
184,pantile,pantile.ai,https://pantile.ai,earth,"A type of interlocking roof tile with a rounded under and over, giving it an elongated S-shap...",Probe Activation Neural Trait Interpretability Layer Embedding,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
185,piglike,piglike.ai,https://piglike.ai,fauna,Resembling or characteristic of a pig.,Probe Interpretability Geometry Layer Interpretability Kernel Embedding,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
186,pallene,pallene.ai,https://pallene.ai,sky,A moon of Saturn.,Probe Activation Layer Layer Embedding Neural Embedding,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
187,terebra,terebra.ai,https://terebra.ai,fauna,"The ovipositor of a female hymenopteran, that pierces.",Trait Embedding Representation Embedding Behavior Representation Activation,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
188,suckler,suckler.ai,https://suckler.ai,fauna,Any animal that suckles its young; a mammal.,Steering Unified Concept Kernel Layer Embedding Representation,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
189,roneo,roneo.ai,https://roneo.ai,language,A copying machine using stencils; a mimeograph.,Representation Observation Neural Embedding Observation,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
190,mercery,mercery.ai,https://mercery.ai,craft,The goods in which a mercer deals.,Manifold Embedding Representation Concept Embedding Representation Yield,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
191,untruth,untruth.ai,https://untruth.ai,feeling,A lie or falsehood.,Unified Neural Trait Representation Unified Trait Hidden-state,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
192,berain,berain.ai,https://berain.ai,sky,To rain upon; wet with rain; moisten.,Behavior Embedding Representation Activation Interpretability Neural,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
193,vapory,vapory.ai,https://vapory.ai,sky,Resembling vapor; vaporous.,Vector Activation Probe Observation Representation Yield,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
194,buttock,buttock.ai,https://buttock.ai,sky,Each of the two large fleshy halves of the posterior part of the body between the base of the...,Behavior Unified Trait Trait Observation Concept Kernel,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
195,tlingit,tlingit.ai,https://tlingit.ai,language,A member of an Indian people from the coastal regions of Alaska and British Columbia.,Trait Layer Interpretability Neural Geometry Interpretability Trait,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
196,sbornik,sbornik.ai,https://sbornik.ai,language,A collection of manuscripts; an anthology.,Steering Behavior Observation Representation Neural Interpretability Kernel,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
197,tarnish,tarnish.ai,https://tarnish.ai,sky,"Oxidation or discoloration, especially of a decorative metal exposed to air.",Trait Activation Representation Neural Interpretability Steering Hidden-state,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
198,hasidim,hasidim.ai,https://hasidim.ai,feeling,sect of orthodox jews who follow the mosaic law strictly,Hidden-state Activation Steering Interpretability Direction Interpretability Manifold,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
199,cacique,cacique.ai,https://cacique.ai,fauna,"A local political leader in Latin America, Spain, or the Philippines.",Concept Activation Concept Interpretability Quantitative Unified Embedding,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
200,unhurt,unhurt.ai,https://unhurt.ai,sound,Not hurt; unharmed or unscathed,Unified Neural Hidden-state Unified Representation Trait,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
