rank,name,domain,url,theme,rationale,backronym_sketch,status,first_year_usd,renewal_usd,premium,checked_at
131,ecological,ecological.tools,https://ecological.tools,cognitive science,A recognized cognitive-science or psychology term with a direct product connection.,Editing Concepts Observation Layerwise Output Geometry Interpretation Cognition Activation Latents,available standard live registrar,9.78,29.35,no,2026-08-27
132,constructivism,constructivism.tools,https://constructivism.tools,cognitive science,A recognized cognitive-science or psychology term with a direct product connection.,Concepts Observation Neural Steering Traits Readout Unified Cognition Tokens Interpretation Vectors Injection Subspaces Manifolds,available standard live registrar,9.78,29.35,no,2026-08-27
133,behaviorism,behaviorism.tools,https://behaviorism.tools,cognitive science,A recognized cognitive-science or psychology term with a direct product connection.,Behavior Editing Hidden-states Activation Vectors Interpretation Observation Readout Injection Steering Manifolds,available standard live registrar,9.78,29.35,no,2026-08-27
134,cognitivism,cognitivism.tools,https://cognitivism.tools,cognitive science,A recognized cognitive-science or psychology term with a direct product connection.,Concepts Observation Geometry Neural Interpretation Traits Injection Vectors Inference Steering Manifolds,available standard live registrar,9.78,29.35,no,2026-08-27
135,functionalism,functionalism.tools,https://functionalism.tools,cognitive science,A recognized cognitive-science or psychology term with a direct product connection.,Features Unified Neural Concepts Traits Interpretation Observation Navigation Activation Layerwise Injection Steering Manifolds,available standard live registrar,9.78,29.35,no,2026-08-27
136,awareness,awareness.design,https://awareness.design,cognitive science,A recognized cognitive-science or psychology term with a direct product connection.,Activation Workspace Analysis Readout Editing Neural Embeddings Steering Subspaces,available standard live registrar,10.81,46.86,no,2026-08-27
137,reason,reason.wiki,https://reason.wiki,cognitive science,A recognized cognitive-science or psychology term with a direct product connection.,Readout Editing Activation Steering Observation Neural,available standard live registrar,2.06,26.26,no,2026-08-27
138,mood,mood.science,https://mood.science,feeling/psychology,"A familiar human term for affect, stance, or inner state.",Manifolds Observation Output Direction,available standard live registrar,10.79,10.79,no,2026-08-27
139,attention,attention.software,https://attention.software,cognitive science,A recognized cognitive-science or psychology term with a direct product connection.,Activation Traits Tokens Editing Neural Tuning Interpretation Observation Navigation,available standard live registrar,15.96,33.47,no,2026-08-27
140,apprehension,apprehension.tools,https://apprehension.tools,feeling/psychology,"A familiar human term for affect, stance, or inner state.",Activation Probing Projection Readout Editing Hidden-states Embeddings Neural Steering Interpretation Observation Navigation,available standard live registrar,9.78,29.35,no,2026-08-27
141,association,association.tools,https://association.tools,cognitive science,A recognized cognitive-science or psychology term with a direct product connection.,Activation Steering Subspaces Observation Concepts Interpretation Analysis Traits Injection Output Neural,available standard live registrar,9.78,29.35,no,2026-08-27
142,cognizance,cognizance.tools,https://cognizance.tools,cognitive science,A recognized cognitive-science or psychology term with a direct product connection.,Concepts Observation Geometry Neural Interpretation Zero-shot Activation Navigation Cognition Editing,available standard live registrar,9.78,29.35,no,2026-08-27
143,argument,argument.tools,https://argument.tools,mechanistic interpretability,"Maps naturally to representations, probes, geometry, or model readout.",Activation Readout Geometry Unified Manifolds Editing Neural Traits,available standard live registrar,9.78,29.35,no,2026-08-27
144,appearance,appearance.tools,https://appearance.tools,mechanistic interpretability,"Maps naturally to representations, probes, geometry, or model readout.",Activation Probing Projection Editing Analysis Readout Affect Neural Concepts Embeddings,available standard live registrar,9.78,29.35,no,2026-08-27
145,chunk,chunk.tools,https://chunk.tools,cognitive science,A recognized cognitive-science or psychology term with a direct product connection.,Concepts Hidden-states Unified Neural Kernels,available standard live registrar,9.78,29.35,no,2026-08-27
146,assumption,assumption.tools,https://assumption.tools,cognitive science,A recognized cognitive-science or psychology term with a direct product connection.,Activation Steering Subspaces Unified Manifolds Probing Traits Interpretation Observation Neural,available standard live registrar,9.78,29.35,no,2026-08-27
147,believing,believing.tools,https://believing.tools,cognitive science,A recognized cognitive-science or psychology term with a direct product connection.,Behavior Editing Layerwise Interpretation Embeddings Vectors Injection Neural Geometry,available standard live registrar,9.78,29.35,no,2026-08-27
148,assertion,assertion.tools,https://assertion.tools,cognitive science,A recognized cognitive-science or psychology term with a direct product connection.,Activation Steering Subspaces Editing Readout Traits Interpretation Observation Neural,available standard live registrar,9.78,29.35,no,2026-08-27
149,accommodation,accommodation.tools,https://accommodation.tools,cognitive science,A recognized cognitive-science or psychology term with a direct product connection.,Activation Concepts Cognition Observation Manifolds Monitoring Output Direction Analysis Traits Interpretation Orthogonalization Neural,available standard live registrar,9.78,29.35,no,2026-08-27
150,acting,acting.tools,https://acting.tools,mechanistic interpretability,"Maps naturally to representations, probes, geometry, or model readout.",Activation Concepts Traits Interpretation Neural Geometry,available standard live registrar,9.78,29.35,no,2026-08-27
151,caring,caring.tools,https://caring.tools,feeling/psychology,"A familiar human term for affect, stance, or inner state.",Concepts Activation Readout Interpretation Neural Geometry,available standard live registrar,9.78,29.35,no,2026-08-27
152,acquaintance,acquaintance.tools,https://acquaintance.tools,cognitive science,A recognized cognitive-science or psychology term with a direct product connection.,Activation Concepts Quantitative Unified Analysis Interpretation Neural Traits Affect Navigation Cognition Editing,available standard live registrar,9.78,29.35,no,2026-08-27
153,imagining,imagining.tools,https://imagining.tools,cognitive science,A recognized cognitive-science or psychology term with a direct product connection.,Interpretation Manifolds Activation Geometry Injection Neural Inference Navigation Guidance,available standard live registrar,9.78,29.35,no,2026-08-27
154,portrayal,portrayal.tools,https://portrayal.tools,mechanistic interpretability,"Maps naturally to representations, probes, geometry, or model readout.",Probing Observation Readout Traits Representation Activation Yield-aware Analysis Layerwise,available standard live registrar,9.78,29.35,no,2026-08-27
155,aptitude,aptitude.tools,https://aptitude.tools,cognitive science,A recognized cognitive-science or psychology term with a direct product connection.,Activation Probing Traits Interpretation Tokens Unified Direction Editing,available standard live registrar,9.78,29.35,no,2026-08-27
156,fallacy,fallacy.tools,https://fallacy.tools,cognitive science,A recognized cognitive-science or psychology term with a direct product connection.,Features Activation Layerwise Latents Analysis Concepts Yield-aware,available standard live registrar,9.78,29.35,no,2026-08-27
157,argumentation,argumentation.tools,https://argumentation.tools,cognitive science,A recognized cognitive-science or psychology term with a direct product connection.,Activation Readout Geometry Unified Manifolds Editing Neural Traits Analysis Tokens Interpretation Observation Navigation,available standard live registrar,9.78,29.35,no,2026-08-27
158,extrapolation,extrapolation.tools,https://extrapolation.tools,cognitive science,A recognized cognitive-science or psychology term with a direct product connection.,Editing eXplainability Traits Readout Activation Probing Observation Layerwise Analysis Tokens Interpretation Output Neural,available standard live registrar,9.78,29.35,no,2026-08-27
159,envisage,envisage.tools,https://envisage.tools,cognitive science,A recognized cognitive-science or psychology term with a direct product connection.,Editing Neural Vectors Interpretation Steering Activation Geometry Embeddings,available standard live registrar,9.78,29.35,no,2026-08-27
160,alertness,alertness.tools,https://alertness.tools,cognitive science,A recognized cognitive-science or psychology term with a direct product connection.,Activation Layerwise Editing Readout Traits Neural Embeddings Steering Subspaces,available standard live registrar,9.78,29.35,no,2026-08-27
161,description,description.tools,https://description.tools,mechanistic interpretability,"Maps naturally to representations, probes, geometry, or model readout.",Direction Editing Steering Concepts Readout Interpretation Probing Traits Injection Observation Neural,available standard live registrar,9.78,29.35,no,2026-08-27
162,anima,anima.tools,https://anima.tools,cognitive science,A recognized cognitive-science or psychology term with a direct product connection.,Activation Neural Interpretation Manifolds Analysis,available standard live registrar,9.78,29.35,no,2026-08-27
163,hallucination,hallucination.tools,https://hallucination.tools,cognitive science,A recognized cognitive-science or psychology term with a direct product connection.,Hidden-states Activation Layerwise Latents Unified Concepts Interpretation Neural Analysis Traits Injection Observation Navigation,available standard live registrar,9.78,29.35,no,2026-08-27
164,inferring,inferring.tools,https://inferring.tools,cognitive science,A recognized cognitive-science or psychology term with a direct product connection.,Interpretation Neural Features Editing Readout Representation Injection Navigation Geometry,available standard live registrar,9.78,29.35,no,2026-08-27
165,animus,animus.tools,https://animus.tools,cognitive science,A recognized cognitive-science or psychology term with a direct product connection.,Activation Neural Interpretation Manifolds Unified Steering,available standard live registrar,9.78,29.35,no,2026-08-27
166,counsel,counsel.tools,https://counsel.tools,cognitive science,A recognized cognitive-science or psychology term with a direct product connection.,Concepts Observation Unified Neural Steering Editing Layerwise,available standard live registrar,9.78,29.35,no,2026-08-27
167,interpreting,interpreting.tools,https://interpreting.tools,cognitive science,A recognized cognitive-science or psychology term with a direct product connection.,Interpretation Neural Traits Editing Readout Probing Representation Embeddings Tokens Injection Navigation Geometry,available standard live registrar,9.78,29.35,no,2026-08-27
168,guiding,guiding.tools,https://guiding.tools,steering/control,A natural metaphor for directional control and activation shaping.,Geometry Unified Interpretation Direction Injection Neural Guidance,available standard live registrar,9.78,29.35,no,2026-08-27
169,ascertain,ascertain.tools,https://ascertain.tools,cognitive science,A recognized cognitive-science or psychology term with a direct product connection.,Activation Steering Concepts Editing Readout Traits Analysis Interpretation Neural,available standard live registrar,9.78,29.35,no,2026-08-27
170,emphasis,emphasis.tools,https://emphasis.tools,mechanistic interpretability,"Maps naturally to representations, probes, geometry, or model readout.",Editing Manifolds Probing Hidden-states Activation Steering Interpretation Subspaces,available standard live registrar,9.78,29.35,no,2026-08-27
171,composition,composition.tools,https://composition.tools,mechanistic interpretability,"Maps naturally to representations, probes, geometry, or model readout.",Concepts Observation Manifolds Probing Output Steering Interpretation Traits Injection Orthogonalization Neural,available standard live registrar,9.78,29.35,no,2026-08-27
172,careful,careful.tools,https://careful.tools,mechanistic interpretability,"Maps naturally to representations, probes, geometry, or model readout.",Concepts Activation Readout Editing Features Unified Layerwise,available standard live registrar,9.78,29.35,no,2026-08-27
173,representation,representation.tools,https://representation.tools,cognitive science,A recognized cognitive-science or psychology term with a direct product connection.,Readout Editing Probing Representation Embeddings Steering Evaluation Neural Traits Activation Tokens Interpretation Observation Navigation,available standard live registrar,9.78,29.35,no,2026-08-27
174,yearning,yearning.tools,https://yearning.tools,feeling/psychology,"A familiar human term for affect, stance, or inner state.",Yield-aware Editing Activation Readout Neural Interpretation Navigation Geometry,available standard live registrar,9.78,29.35,no,2026-08-27
175,sensory,sensory.tools,https://sensory.tools,cognitive science,A recognized cognitive-science or psychology term with a direct product connection.,Steering Editing Neural Subspaces Observation Readout Yield-aware,available standard live registrar,9.78,29.35,no,2026-08-27
176,reinforcement,reinforcement.tools,https://reinforcement.tools,cognitive science,A recognized cognitive-science or psychology term with a direct product connection.,Readout Editing Interpretation Neural Features Observation Representation Concepts Embeddings Manifolds Evaluation Navigation Traits,available standard live registrar,9.78,29.35,no,2026-08-27
177,retrieval,retrieval.tools,https://retrieval.tools,cognitive science,A recognized cognitive-science or psychology term with a direct product connection.,Readout Editing Traits Representation Interpretation Embeddings Vectors Activation Layerwise,available standard live registrar,9.78,29.35,no,2026-08-27
178,reflective,reflective.tools,https://reflective.tools,cognitive science,A recognized cognitive-science or psychology term with a direct product connection.,Readout Editing Features Layerwise Embeddings Concepts Traits Interpretation Vectors Evaluation,available standard live registrar,9.78,29.35,no,2026-08-27
179,brightness,brightness.tools,https://brightness.tools,feeling/psychology,"A familiar human term for affect, stance, or inner state.",Behavior Readout Interpretation Geometry Hidden-states Traits Neural Editing Steering Subspaces,available standard live registrar,9.78,29.35,no,2026-08-27
180,anguish,anguish.tools,https://anguish.tools,feeling/psychology,"A familiar human term for affect, stance, or inner state.",Activation Neural Geometry Unified Interpretation Steering Hidden-states,available standard live registrar,9.78,29.35,no,2026-08-27
181,agony,agony.tools,https://agony.tools,feeling/psychology,"A familiar human term for affect, stance, or inner state.",Activation Geometry Observation Neural Yield-aware,available standard live registrar,9.78,29.35,no,2026-08-27
182,astonishment,astonishment.tools,https://astonishment.tools,feeling/psychology,"A familiar human term for affect, stance, or inner state.",Activation Steering Traits Observation Neural Interpretation Subspaces Hidden-states Manifolds Editing Navigation Tokens,available standard live registrar,9.78,29.35,no,2026-08-27
183,arouse,arouse.tools,https://arouse.tools,mechanistic interpretability,"Maps naturally to representations, probes, geometry, or model readout.",Activation Readout Observation Unified Steering Editing,available standard live registrar,9.78,29.35,no,2026-08-27
184,aversion,aversion.tools,https://aversion.tools,feeling/psychology,"A familiar human term for affect, stance, or inner state.",Activation Vectors Editing Readout Steering Interpretation Observation Neural,available standard live registrar,9.78,29.35,no,2026-08-27
185,adrift,adrift.tools,https://adrift.tools,mechanistic interpretability,"Maps naturally to representations, probes, geometry, or model readout.",Activation Direction Readout Interpretation Features Traits,available standard live registrar,9.78,29.35,no,2026-08-27
186,angst,angst.tools,https://angst.tools,feeling/psychology,"A familiar human term for affect, stance, or inner state.",Activation Neural Geometry Steering Traits,available standard live registrar,9.78,29.35,no,2026-08-27
187,acquisition,acquisition.tools,https://acquisition.tools,cognitive science,A recognized cognitive-science or psychology term with a direct product connection.,Activation Concepts Quantitative Unified Interpretation Steering Injection Traits Inference Observation Neural,available standard live registrar,9.78,29.35,no,2026-08-27
188,ambition,ambition.tools,https://ambition.tools,feeling/psychology,"A familiar human term for affect, stance, or inner state.",Activation Manifolds Behavior Interpretation Traits Injection Observation Neural,available standard live registrar,9.78,29.35,no,2026-08-27
189,aspiration,aspiration.tools,https://aspiration.tools,feeling/psychology,"A familiar human term for affect, stance, or inner state.",Activation Steering Probing Interpretation Readout Analysis Traits Injection Observation Neural,available standard live registrar,9.78,29.35,no,2026-08-27
190,agreement,agreement.tools,https://agreement.tools,mechanistic interpretability,"Maps naturally to representations, probes, geometry, or model readout.",Activation Geometry Readout Editing Embeddings Manifolds Evaluation Neural Traits,available standard live registrar,9.78,29.35,no,2026-08-27
191,definition,definition.tools,https://definition.tools,cognitive science,A recognized cognitive-science or psychology term with a direct product connection.,Direction Editing Features Interpretation Neural Injection Traits Inference Observation Navigation,available standard live registrar,9.78,29.35,no,2026-08-27
192,adjustment,adjustment.tools,https://adjustment.tools,steering/control,A natural metaphor for directional control and activation shaping.,Activation Direction Jacobian Unified Steering Traits Manifolds Editing Neural Tokens,available standard live registrar,9.78,29.35,no,2026-08-27
193,sensitization,sensitization.tools,https://sensitization.tools,cognitive science,A recognized cognitive-science or psychology term with a direct product connection.,Steering Editing Neural Subspaces Interpretation Traits Injection Zero-shot Activation Tokens Inference Observation Navigation,available standard live registrar,9.78,29.35,no,2026-08-27
194,bound,bound.tools,https://bound.tools,steering/control,A natural metaphor for directional control and activation shaping.,Behavior Observation Unified Neural Direction,available standard live registrar,9.78,29.35,no,2026-08-27
195,considering,considering.tools,https://considering.tools,cognitive science,A recognized cognitive-science or psychology term with a direct product connection.,Concepts Observation Neural Steering Interpretation Direction Editing Readout Injection Navigation Geometry,available standard live registrar,9.78,29.35,no,2026-08-27
196,ownership,ownership.tools,https://ownership.tools,steering/control,A natural metaphor for directional control and activation shaping.,Observation Workspace Neural Editing Readout Steering Hidden-states Interpretation Probing,available standard live registrar,9.78,29.35,no,2026-08-27
197,daydream,daydream.tools,https://daydream.tools,sleep/dream,Drowse-adjacent language for liminal cognition and model state.,Direction Activation Yield-aware Detection Readout Editing Analysis Manifolds,available standard live registrar,9.78,29.35,no,2026-08-27
198,dreamlike,dreamlike.tools,https://dreamlike.tools,sleep/dream,Drowse-adjacent language for liminal cognition and model state.,Direction Readout Editing Activation Manifolds Layerwise Interpretation Kernels Embeddings,available standard live registrar,9.78,29.35,no,2026-08-27
199,assure,assure.tools,https://assure.tools,steering/control,A natural metaphor for directional control and activation shaping.,Activation Steering Subspaces Unified Readout Editing,available standard live registrar,9.78,29.35,no,2026-08-27
200,bashful,bashful.tools,https://bashful.tools,feeling/psychology,"A familiar human term for affect, stance, or inner state.",Behavior Activation Steering Hidden-states Features Unified Layerwise,available standard live registrar,9.78,29.35,no,2026-08-27
